0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,46,13,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,3,0,0,0,0,0,23,0,0,2,0,0,0,0,0
0,1,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,7,0,2,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,7,0,9,0,1,0,0,0,0,0,0,0,1,0,8,1,2,1,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,1,0,2,0,0,1,3,0,0,0,0,0,1,1,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7,1,0,3,0,0,0,0,0
0,0,18,11,0,0,6,0,0,0,2,30,2,0,0,0,0,3,0,0,0,0,2,5,2,0,5,0,0,0,0,0,0,0,0,0,19,1,3,0,0,7,0,1,0
0,2,8,22,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,1,0,2,0,1,0,0,3,1,0,0,1,0,0,23,0,1,3,0,0,5,1,0
0,7,12,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,1,0,6,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3,0,0,1,11,0,0,0,7,0,0,7,0,0,3,1,0,0,0,0,0,0,2,0,15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0
0,1,0,3,0,1,1,2,0,0,1,5,0,2,0,0,0,1,0,0,0,0,2,0,57,0,0,3,0,7,0,8,0,0,0,4,23,0,1,3,0,11,0,0,0
